147.45.167.249:8443#NL [200.55ms 0.13Mbps]
185.195.69.200:8443#CH [200.55ms 0.04Mbps]
38.242.229.125:8443#FR [200.59ms 0.11Mbps]
104.194.84.188:8443#FR [200.7ms 6.52Mbps]
5.253.59.106:8443#NL [201.23ms 0.32Mbps]
95.182.97.6:2053#FR [201.58ms 3.14Mbps]
46.8.194.76:8443#UZ [201.6ms 0.12Mbps]
72.56.78.59:443#NL [201.63ms 0.0Mbps]
31.59.120.180:8443#FR [201.77ms 2.5Mbps]
147.45.234.110:443#NL [202.48ms 1.93Mbps]
45.147.49.183:443#IS [203.28ms 6.64Mbps]
31.56.228.77:443#FR [206.45ms 0.68Mbps]
185.253.46.105:8443#CZ [206.49ms 0.2Mbps]
94.154.128.132:443#UZ [206.8ms 2.78Mbps]
89.127.196.71:443#CH [208.88ms 0.01Mbps]
31.58.76.68:8443#FR [209.88ms 1.2Mbps]
38.180.239.173:443#RS [209.89ms 1.62Mbps]
82.118.23.18:2053#PL [210.29ms 0.02Mbps]
147.90.14.132:443#FR [211.48ms 0.15Mbps]
185.169.234.175:443#GB [211.48ms 0.0Mbps]
45.43.76.227:443#LV [211.69ms 0.11Mbps]
45.38.228.94:8443#FR [213.17ms 2.65Mbps]
31.59.104.162:443#LV [214.27ms 1.17Mbps]
185.237.218.22:443#LV [214.46ms 0.61Mbps]
168.220.85.211:443#SE [214.72ms 1.26Mbps]
5.181.77.132:443#HU [216.1ms 2.72Mbps]
31.56.117.141:2053#LV [216.13ms 2.68Mbps]
109.172.94.111:8443#GB [216.31ms 2.54Mbps]
159.65.81.106:443#GB [217.27ms 0.11Mbps]
165.232.39.158:2096#GB [217.76ms 0.11Mbps]
165.22.117.33:443#GB [217.96ms 0.07Mbps]
77.73.71.239:443#LV [218.78ms 2.44Mbps]
206.245.166.128:2087#GB [219.12ms 0.01Mbps]
195.135.255.129:2053#LV [219.35ms 0.12Mbps]
85.137.167.101:443#CZ [219.98ms 1.81Mbps]
145.239.85.117:2053#PL [220.18ms 0.05Mbps]
91.245.225.79:8443#CH [220.23ms 0.04Mbps]
144.126.201.81:443#GB [220.33ms 0.0Mbps]
91.199.147.228:8443#CZ [220.39ms 0.11Mbps]
109.172.9.242:443#CZ [220.58ms 0.29Mbps]
159.65.82.25:8443#GB [220.7ms 0.14Mbps]
165.22.115.179:443#GB [220.98ms 0.1Mbps]
138.68.179.125:443#GB [220.99ms 0.08Mbps]
207.148.81.4:443#AU [221.06ms 0.84Mbps]
109.172.9.252:443#CZ [222.02ms 3.36Mbps]
5.181.202.75:443#EE [222.84ms 0.1Mbps]
37.203.209.50:443#SE [223.54ms 2.03Mbps]
45.38.198.129:2083#LV [224.07ms 0.0Mbps]
217.60.3.136:443#LV [224.53ms 0.7Mbps]
